(model, predicted_mpg, actual_mpg)
(buick skylark limited, 26.4622815534, 28.4)
(chevrolet citation, 23.9589834691, 28.8)
(oldsmobile omega brougham, 23.7813392459, 26.8)
(pontiac phoenix, 26.6249229784, 33.5)
(vw rabbit, 28.8140541081, 41.5)
(toyota corolla tercel, 29.9400556476, 38.1)
(chevrolet chevette, 29.0782216621, 32.1)
(datsun 310, 29.6472650424, 37.2)
(chevrolet citation, 26.5347075528, 28.0)
(ford fairmont, 26.3915817874, 26.4)
(amc concord, 25.9463923954, 24.3)
(dodge aspen, 22.6303859822, 19.1)
(audi 4000, 28.7025365353, 34.3)
(toyota corona liftback, 26.6771394113, 29.8)
(mazda 626, 27.7676862944, 31.3)
(datsun 510 hatchback, 27.4007954694, 37.0)
(toyota corolla, 28.4610861593, 32.2)
(mazda glc, 29.4965301064, 46.6)
(dodge colt, 25.6687948772, 27.9)
(datsun 210, 29.5476811582, 40.8)
(vw rabbit c (diesel), 30.1405223544, 44.3)
(vw dasher (diesel), 29.6660940157, 43.4)
(audi 5000s (diesel), 26.4966680645, 36.4)
(mercedes-benz 240d, 26.2705900336, 30.0)
(honda civic 1500 gl, 29.7981296315, 44.6)
(subaru dl, 29.205575705, 33.8)
(vokswagen rabbit, 30.0384456878, 29.8)
(datsun 280-zx, 22.8989762036, 32.7)
(mazda rx-7 gs, 28.5121117522, 23.7)
(triumph tr7 coupe, 27.3477816119, 35.0)
(honda accord, 28.5685310241, 32.4)
(plymouth reliant, 27.4039458474, 27.2)
(buick skylark, 26.8888644141, 26.6)
(dodge aries wagon (sw), 26.5390977189, 25.8)
(chevrolet citation, 24.0287634054, 23.5)
(plymouth reliant, 27.547460051, 30.0)
(toyota starlet, 30.6191392219, 39.1)
(plymouth champ, 30.0602424308, 39.0)
(honda civic 1300, 30.4939364856, 35.1)
(subaru, 29.4451142463, 32.3)
(datsun 210 mpg, 29.9154849478, 37.0)
(toyota tercel, 29.7348605884, 37.7)
(mazda glc 4, 29.617265432, 34.1)
(plymouth horizon 4, 29.0573702874, 34.7)
(ford escort 4w, 29.491405054, 34.4)
(ford escort 2h, 28.9074349431, 29.9)
(volkswagen jetta, 28.7415104259, 33.0)
(honda prelude, 28.6446053843, 33.7)
(toyota corolla, 28.4011540049, 32.4)
(datsun 200sx, 26.8317668791, 32.9)
(mazda 626, 27.699733533, 31.6)
(peugeot 505s turbo diesel, 26.0068167839, 28.1)
(volvo diesel, 24.7793052853, 30.7)
(toyota cressida, 23.5373212477, 25.4)
(datsun 810 maxima, 23.6926460128, 24.2)
(buick century, 21.8310983788, 22.4)
(oldsmobile cutlass ls, 18.3111551849, 26.6)
(ford granada gl, 23.7601816766, 20.2)
(chrysler lebaron salon, 22.6260184175, 17.6)
(chevrolet cavalier, 27.5448011734, 28.0)
(chevrolet cavalier wagon, 27.4419758518, 27.0)
(chevrolet cavalier 2-door, 27.9455963126, 34.0)
(pontiac j2000 se hatchback, 27.6070609978, 31.0)
(dodge aries se, 27.4133018461, 29.0)
(pontiac phoenix, 26.6066452735, 27.0)
(ford fairmont futura, 26.3773325693, 24.0)
(volkswagen rabbit l, 29.2943052417, 36.0)
(mazda glc custom l, 29.6700343942, 37.0)
(mazda glc custom, 29.7698579595, 31.0)
(plymouth horizon miser, 29.318161297, 38.0)
(mercury lynx l, 29.2692047223, 36.0)
(nissan stanza xe, 28.2320685133, 36.0)
(honda accord, 28.7332829192, 36.0)
(toyota corolla, 28.8610297916, 34.0)
(honda civic, 29.7382705318, 38.0)
(honda civic (auto), 29.7581797099, 32.0)
(datsun 310 gx, 29.7086431468, 38.0)
(buick century limited, 23.6310797217, 25.0)
(oldsmobile cutlass ciera (diesel), 23.1444193269, 38.0)
(chrysler lebaron medallion, 26.6915326583, 26.0)
(ford granada l, 23.0300165231, 22.0)
(toyota celica gt, 26.547631414, 32.0)
(dodge charger 2.2, 27.657390054, 36.0)
(chevrolet camaro, 26.1298080293, 27.0)
(ford mustang gl, 26.7043810183, 27.0)
(vw pickup, 30.0516044898, 44.0)
(dodge rampage, 27.7769652092, 32.0)
(ford ranger, 27.6460520686, 28.0)
(chevy s-10, 27.3858796892, 31.0)
