(model, predicted_mpg, actual_mpg)
(toyota corolla 1200, 31.79057988, 31.0)
(datsun 1200, 32.5258114225, 35.0)
(volkswagen model 111, 31.2124692587, 27.0)
(plymouth cricket, 30.5775629261, 26.0)
(toyota corona hardtop, 28.4165142563, 24.0)
(dodge colt hardtop, 29.5354015335, 25.0)
(volkswagen type 3, 29.198631885, 23.0)
(chevrolet vega, 27.4837567707, 20.0)
(ford pinto runabout, 28.6600525859, 21.0)
(chevrolet impala, 13.741777952, 13.0)
(pontiac catalina, 12.4416876046, 14.0)
(plymouth fury iii, 15.0068430954, 15.0)
(ford galaxie 500, 14.5818057741, 14.0)
(amc ambassador sst, 17.4796169063, 17.0)
(mercury marquis, 10.4733255345, 11.0)
(buick lesabre custom, 12.724023798, 13.0)
(oldsmobile delta 88 royale, 12.8959718018, 12.0)
(chrysler newport royal, 12.0904346806, 13.0)
(mazda rx2 coupe, 28.9293804746, 19.0)
(amc matador (sw), 16.3895522021, 15.0)
(chevrolet chevelle concours (sw), 15.5544645379, 13.0)
(ford gran torino (sw), 14.5351821664, 13.0)
(plymouth satellite custom (sw), 15.2942238198, 14.0)
(volvo 145e (sw), 24.878675842, 18.0)
(volkswagen 411 (sw), 27.3726356444, 22.0)
(peugeot 504 (sw), 24.9433896079, 21.0)
(renault 12 (sw), 29.3655354589, 26.0)
(ford pinto (sw), 27.8226846501, 22.0)
(datsun 510 (sw), 28.6047599358, 28.0)
(toyouta corona mark ii (sw), 27.1750793624, 23.0)
(dodge colt (sw), 29.3407360066, 28.0)
(toyota corolla 1600 (sw), 29.5810494872, 27.0)
(buick century 350, 14.4919964505, 13.0)
(amc matador, 17.4796424996, 14.0)
(chevrolet malibu, 15.3827862477, 13.0)
(ford gran torino, 15.8174120909, 14.0)
(dodge coronet custom, 16.7807012772, 15.0)
(mercury marquis brougham, 9.00470651851, 12.0)
(chevrolet caprice classic, 12.3301539803, 13.0)
(ford ltd, 13.3664242436, 13.0)
(plymouth fury gran sedan, 14.501475074, 14.0)
(chrysler new yorker brougham, 9.7491991449, 13.0)
(buick electra 225 custom, 8.37555834585, 12.0)
(amc ambassador brougham, 15.7467658831, 13.0)
(plymouth valiant, 22.2100050916, 18.0)
(chevrolet nova custom, 21.1689929912, 16.0)
(amc hornet, 23.0486899467, 18.0)
(ford maverick, 22.5767258449, 18.0)
(plymouth duster, 23.7417576439, 23.0)
(volkswagen super beetle, 30.7944880615, 26.0)
(chevrolet impala, 9.68922447592, 11.0)
(ford country, 9.9498011112, 12.0)
(plymouth custom suburb, 11.6753590807, 13.0)
(oldsmobile vista cruiser, 12.4590407499, 12.0)
(amc gremlin, 23.8216449075, 18.0)
(toyota carina, 28.6941588641, 20.0)
(chevrolet vega, 27.71997489, 21.0)
(datsun 610, 27.9911113883, 22.0)
(maxda rx3, 30.0284675288, 18.0)
(ford pinto, 28.2550666436, 19.0)
(mercury capri v6, 26.296721579, 21.0)
(fiat 124 sport coupe, 28.7283735568, 26.0)
(chevrolet monte carlo s, 14.9170313121, 15.0)
(pontiac grand prix, 12.3561600851, 16.0)
(fiat 128, 31.5422841817, 29.0)
(opel manta, 29.1967298828, 24.0)
(audi 100ls, 26.9422851316, 20.0)
(volvo 144ea, 25.2007660574, 19.0)
(dodge dart custom, 18.6536306411, 15.0)
(saab 99le, 26.253762515, 24.0)
(toyota mark ii, 24.4561632953, 20.0)
(oldsmobile omega, 16.5963318756, 11.0)
(plymouth duster, 22.7607249879, 20.0)
(amc hornet, 23.2667284887, 19.0)
(chevrolet nova, 20.8816378407, 15.0)
(datsun b210, 30.7891555542, 31.0)
(ford pinto, 27.61243438, 26.0)
(toyota corolla 1200, 31.4785018342, 32.0)
(chevrolet vega, 26.9877832079, 25.0)
(chevrolet chevelle malibu classic, 18.6767341558, 16.0)
(amc matador, 19.2009514455, 16.0)
(plymouth satellite sebring, 19.7722495322, 18.0)
(ford gran torino, 15.2933237558, 16.0)
(buick century luxus (sw), 11.803946219, 13.0)
(dodge coronet custom (sw), 13.4114358854, 14.0)
(ford gran torino (sw), 12.8307684821, 14.0)
(amc matador (sw), 14.5810869999, 14.0)
(audi fox, 29.0346862913, 29.0)
(volkswagen dasher, 30.7247425013, 26.0)
(opel manta, 28.7020818966, 26.0)
(toyota corona, 32.4867753254, 31.0)
(datsun 710, 30.5426662861, 32.0)
(dodge colt, 29.6921051701, 28.0)
(fiat 128, 29.7763374847, 24.0)
(fiat 124 tc, 28.7607295206, 26.0)
(honda civic, 27.2593628442, 24.0)
(subaru, 27.9428737907, 26.0)
(fiat x1.9, 30.5414134504, 31.0)
(plymouth valiant custom, 21.6134634246, 19.0)
(chevrolet nova, 20.2162434826, 18.0)
(mercury monarch, 20.7194568709, 15.0)
(ford maverick, 22.0770829017, 15.0)
(pontiac catalina, 11.0955193429, 16.0)
(chevrolet bel air, 13.1432499103, 15.0)
(plymouth grand fury, 13.2083130883, 16.0)
(ford ltd, 12.0217018146, 14.0)
(buick century, 18.1829993258, 17.0)
(chevroelt chevelle malibu, 18.0460237732, 16.0)
(amc matador, 18.7154027831, 15.0)
(plymouth fury, 19.031992036, 18.0)
(buick skyhawk, 22.4837999879, 21.0)
(chevrolet monza 2+2, 20.6981727478, 20.0)
(ford mustang ii, 20.2325976735, 13.0)
(toyota corolla, 29.3748666496, 29.0)
(ford pinto, 26.4176299474, 23.0)
(amc gremlin, 23.2023411655, 20.0)
(pontiac astro, 26.706482098, 23.0)
(toyota corona, 26.0365193507, 24.0)
(volkswagen dasher, 29.2513362462, 25.0)
(datsun 710, 26.9946805676, 24.0)
(ford pinto, 23.6676348424, 18.0)
(volkswagen rabbit, 30.6796152398, 29.0)
(amc pacer, 21.8427030499, 19.0)
(audi 100ls, 26.329851529, 23.0)
(peugeot 504, 25.0412778402, 23.0)
(volvo 244dl, 24.9760234934, 22.0)
(saab 99le, 26.1433358208, 25.0)
(honda civic cvcc, 31.5607532643, 33.0)
(fiat 131, 27.6723492282, 28.0)
(opel 1900, 28.8224371042, 25.0)
(capri ii, 26.6488753979, 25.0)
(dodge colt, 28.9011429936, 26.0)
(renault 12tl, 29.0806804738, 27.0)
(chevrolet chevelle malibu classic, 14.8884275295, 17.5)
(dodge coronet brougham, 14.7344292636, 16.0)
(amc matador, 16.3786635943, 15.5)
(ford gran torino, 14.1669868469, 14.5)
(plymouth valiant, 21.7111144022, 22.0)
(chevrolet nova, 20.7414820302, 22.0)
(ford maverick, 23.3379145869, 24.0)
(amc hornet, 22.467038474, 22.5)
(chevrolet chevette, 30.459390894, 29.0)
(chevrolet woody, 29.5647371538, 24.5)
(vw rabbit, 30.679640841, 29.0)
(honda civic, 31.5607788538, 33.0)
(dodge aspen se, 19.6399914798, 20.0)
(ford granada ghia, 19.9487256718, 18.0)
(pontiac ventura sj, 19.2386942675, 18.5)
(amc pacer d/l, 21.544101144, 17.5)
(volkswagen rabbit, 31.1340463451, 29.5)
(datsun b-210, 30.4808498323, 32.0)
(toyota corolla, 29.4541696944, 28.0)
(ford pinto, 26.907457723, 26.5)
(volvo 245, 23.8006595873, 20.0)
(plymouth volare premier v8, 15.9731392068, 13.0)
(peugeot 504, 23.4904387852, 19.0)
(toyota mark ii, 24.0035238133, 19.0)
(mercedes-benz 280s, 19.3062204587, 16.5)
(cadillac seville, 13.0487434437, 16.5)
(chevy c10, 15.0508887263, 13.0)
(ford f108, 16.7480858001, 13.0)
(dodge d100, 16.88978459, 13.0)
(honda accord cvcc, 30.0648291373, 31.5)
(buick opel isuzu deluxe, 29.2195375127, 30.0)
(renault 5 gtl, 31.5093416102, 36.0)
(plymouth arrow gs, 28.1815731242, 25.5)
(datsun f-10 hatchback, 30.7038432063, 33.5)
(chevrolet caprice classic, 16.4923497924, 17.5)
(oldsmobile cutlass supreme, 16.566639761, 17.0)
(dodge monaco brougham, 15.0381714957, 15.5)
(mercury cougar brougham, 14.6423044995, 15.0)
(chevrolet concours, 19.8580748363, 17.5)
(buick skylark, 20.6272577328, 20.5)
(plymouth volare custom, 19.7440687078, 19.0)
(ford granada, 19.9676398373, 18.5)
(pontiac grand prix lj, 13.2033894695, 16.0)
(chevrolet monte carlo landau, 14.226008803, 15.5)
(chrysler cordoba, 12.5711820907, 15.5)
(ford thunderbird, 13.6060165121, 16.0)
(volkswagen rabbit custom, 30.4859009836, 29.0)
(pontiac sunbird coupe, 25.7208738018, 24.5)
(toyota corolla liftback, 28.9091629862, 26.0)
(ford mustang ii 2+2, 25.7757501283, 25.5)
(chevrolet chevette, 30.0910746649, 30.5)
(dodge colt m/m, 29.7482599709, 33.5)
(subaru dl, 30.3860774427, 30.0)
(volkswagen dasher, 29.2471910327, 30.5)
(datsun 810, 24.8241308891, 22.0)
(bmw 320i, 26.5511552263, 21.5)
(mazda rx-4, 26.7239561415, 21.5)
(volkswagen rabbit custom diesel, 30.6881483513, 43.1)
(ford fiesta, 31.3011801576, 36.1)
(mazda glc deluxe, 30.7965255031, 32.8)
(datsun b210 gx, 30.084513902, 39.4)
(honda civic cvcc, 31.4576913289, 36.1)
(oldsmobile cutlass salon brougham, 20.0102788385, 19.9)
(dodge diplomat, 17.1008817892, 19.4)
(mercury monarch ghia, 18.1338344998, 20.2)
(pontiac phoenix lj, 20.0822510441, 19.2)
(chevrolet malibu, 22.4726947658, 20.5)
(ford fairmont (auto), 23.526063472, 20.2)
(ford fairmont (man), 25.9603900219, 25.1)
(plymouth volare, 20.7350622299, 20.5)
(amc concord, 21.8477346775, 19.4)
(buick century special, 20.8502510717, 20.6)
(mercury zephyr, 23.0058053341, 20.8)
(dodge aspen, 19.6816934887, 18.6)
(amc concord d/l, 20.18907888, 18.1)
(chevrolet monte carlo landau, 18.7468274954, 19.2)
(buick regal sport coupe (turbo), 19.8564909028, 17.7)
(ford futura, 19.9423509431, 18.1)
(dodge magnum xe, 15.3914620979, 17.5)
(chevrolet chevette, 29.5198222814, 30.0)
(toyota corona, 26.7513783262, 27.5)
(datsun 510, 28.2086929949, 27.2)
(dodge omni, 28.9805032046, 30.9)
(toyota celica gt liftback, 26.9743461379, 21.1)
(plymouth sapporo, 25.4419961122, 23.2)
(oldsmobile starfire sx, 25.1846776618, 23.8)
(datsun 200-sx, 27.6884348298, 23.9)
(audi 5000, 25.1182060271, 20.3)
(volvo 264gl, 22.6834033134, 17.0)
(saab 99gle, 25.5290125586, 21.6)
(peugeot 604sl, 21.2560372698, 16.2)
(volkswagen scirocco, 30.4186537015, 31.5)
(honda accord lx, 29.6189190801, 29.5)
(pontiac lemans v6, 21.4072307659, 21.5)
(mercury zephyr 6, 23.4022181652, 19.8)
(ford fairmont 4, 25.1180929332, 22.3)
(amc concord dl 6, 21.5752441241, 20.2)
(dodge aspen 6, 20.9699773332, 20.6)
(chevrolet caprice classic, 16.8585185548, 17.0)
(ford ltd landau, 17.4778092053, 17.6)
(mercury grand marquis, 15.6120509236, 16.5)
(dodge st. regis, 16.6861723093, 18.2)
(buick estate wagon (sw), 13.4277902494, 16.9)
(ford country squire (sw), 15.0767421325, 15.5)
(chevrolet malibu classic (sw), 18.5638774571, 19.2)
(chrysler lebaron town @ country (sw), 15.4371667138, 18.5)
(vw rabbit custom, 30.7407438431, 31.9)
(maxda glc deluxe, 30.5984606852, 34.1)
(dodge colt hatchback custom, 30.5746702325, 35.7)
(amc spirit dl, 26.5402154629, 27.4)
(mercedes benz 300d, 21.2772319688, 25.4)
(cadillac eldorado, 16.0428643739, 23.0)
(peugeot 504, 23.8091919476, 27.2)
(oldsmobile cutlass salon brougham, 19.9616870042, 23.9)
(plymouth horizon, 29.185148564, 34.2)
(plymouth horizon tc3, 29.4328906172, 34.5)
(datsun 210, 30.3882561302, 31.8)
(fiat strada custom, 29.7218654176, 37.3)
(buick skylark limited, 26.0453739207, 28.4)
(chevrolet citation, 25.3681349476, 28.8)
(oldsmobile omega brougham, 24.847876837, 26.8)
(pontiac phoenix, 26.6102255423, 33.5)
(vw rabbit, 29.4848172363, 41.5)
(toyota corolla tercel, 30.6508556879, 38.1)
(chevrolet chevette, 29.6709029704, 32.1)
(datsun 310, 30.3804733766, 37.2)
(chevrolet citation, 26.0057608156, 28.0)
(ford fairmont, 25.2172153525, 26.4)
(amc concord, 24.3954380397, 24.3)
(dodge aspen, 21.0898498711, 19.1)
(audi 4000, 29.2571775584, 34.3)
(toyota corona liftback, 26.0592233869, 29.8)
(mazda 626, 27.2431983426, 31.3)
(datsun 510 hatchback, 27.6007702923, 37.0)
(toyota corolla, 28.7688457944, 32.2)
(mazda glc, 29.9295830185, 46.6)
(dodge colt, 25.1695310237, 27.9)
(datsun 210, 29.9423461468, 40.8)
(vw rabbit c (diesel), 30.1927155717, 44.3)
(vw dasher (diesel), 28.9540057142, 43.4)
(audi 5000s (diesel), 25.0543246734, 36.4)
(mercedes-benz 240d, 23.4928913506, 30.0)
(honda civic 1500 gl, 31.1316359533, 44.6)
(subaru dl, 29.5933799265, 33.8)
(vokswagen rabbit, 31.2379109902, 29.8)
(datsun 280-zx, 23.6808876922, 32.7)
(mazda rx-7 gs, 28.4500648314, 23.7)
(triumph tr7 coupe, 27.2802413395, 35.0)
(honda accord, 28.6913227233, 32.4)
(plymouth reliant, 27.2086750424, 27.2)
(buick skylark, 26.2860140632, 26.6)
(dodge aries wagon (sw), 26.2069617938, 25.8)
(chevrolet citation, 24.7800316429, 23.5)
(plymouth reliant, 27.7289331063, 30.0)
(toyota starlet, 31.8562826995, 39.1)
(plymouth champ, 31.1051908176, 39.0)
(honda civic 1300, 31.7835924644, 35.1)
(subaru, 29.9897926914, 32.3)
(datsun 210 mpg, 30.6112751131, 37.0)
(toyota tercel, 30.2221945144, 37.7)
(mazda glc 4, 30.4515633423, 34.1)
(plymouth horizon 4, 29.1892416949, 34.7)
(ford escort 4w, 30.098516196, 34.4)
(ford escort 2h, 28.4386450577, 29.9)
(volkswagen jetta, 29.1899684876, 33.0)
(honda prelude, 29.0541506202, 33.7)
(toyota corolla, 28.347710072, 32.4)
(datsun 200sx, 26.6144104857, 32.9)
(mazda 626, 26.793618796, 31.6)
(peugeot 505s turbo diesel, 23.5102950497, 28.1)
(volvo diesel, 23.3626702503, 30.7)
(toyota cressida, 23.9095805276, 25.4)
(datsun 810 maxima, 23.996943393, 24.2)
(buick century, 20.6209338365, 22.4)
(oldsmobile cutlass ls, 17.133911075, 26.6)
(ford granada gl, 23.0218457526, 20.2)
(chrysler lebaron salon, 20.7296434689, 17.6)
(chevrolet cavalier, 26.887665306, 28.0)
(chevrolet cavalier wagon, 26.7142458761, 27.0)
(chevrolet cavalier 2-door, 27.9281815894, 34.0)
(pontiac j2000 se hatchback, 27.0698951405, 31.0)
(dodge aries se, 27.0352812565, 29.0)
(pontiac phoenix, 25.7233861955, 27.0)
(ford fairmont futura, 25.1972609723, 24.0)
(volkswagen rabbit l, 30.2305104695, 36.0)
(mazda glc custom l, 30.2533954316, 37.0)
(mazda glc custom, 30.525911594, 31.0)
(plymouth horizon miser, 29.6352028572, 38.0)
(mercury lynx l, 29.6461800285, 36.0)
(nissan stanza xe, 28.9904641705, 36.0)
(honda accord, 29.0789504162, 36.0)
(toyota corolla, 28.9239684665, 34.0)
(honda civic, 30.5618806165, 38.0)
(honda civic (auto), 30.5618806437, 32.0)
(datsun 310 gx, 30.4132354709, 38.0)
(buick century limited, 23.587888019, 25.0)
(oldsmobile cutlass ciera (diesel), 22.4871130848, 38.0)
(chrysler lebaron medallion, 26.380406782, 26.0)
(ford granada l, 23.4596135096, 22.0)
(toyota celica gt, 26.0923968128, 32.0)
(dodge charger 2.2, 27.8032812997, 36.0)
(chevrolet camaro, 24.6580956238, 27.0)
(ford mustang gl, 25.636043471, 27.0)
(vw pickup, 29.8356778392, 44.0)
(dodge rampage, 28.1748942258, 32.0)
(ford ranger, 26.7872181741, 28.0)
(chevy s-10, 26.2956867329, 31.0)
